sample,1_01,1_02,1_03,2_01,2_02,2_03,3_01,3_02,3_03,5_01,5_02,5_03,6_01,6_02,6_03
513.2772@14.973267,5201567,4187830,4584703,4561640,4665400,4830368,3804165,3517052,3270223,2208545,922122,1528396,4839077,4903303,4625427
496.2862@14.9802,41484,36093,28804,1,25680,1,27879,19790,25596,25277,1,1,36769,1,39735
556.4496@14.980415,599680,801249,745331,505773,477827,344933,315524,400066,1,1,483970,333562,1,353680,379205
617.2616@14.986417,96322,68823,89610,57322,59181,34353,51387,32964,34465,26608,1,1,1,86438,83423
608.5015@14.993546,164426,1,117258,109924,1,73655,1,88926,88002,80798,30253,61628,106729,1,120648
786.59@15.001133,34394,46998,27133,68877,69310,37491,48395,69062,76103,58269,163766,107611,16584,24519,26894
340.3344@15.0066,25307,29354,23688,47416,46129,27799,36422,41729,47994,48822,244994,100358,26958,26795,25844
392.3654@15.023358,22228,23876,15242,22653,23102,1,35074,34157,34160,18074,90725,54166,23157,29701,30293
366.3502@15.030265,65657,107847,47761,101700,99681,53768,76238,114995,139716,76866,330458,191039,29200,39812,41654
580.447@15.020714,80844,98326,94126,64555,37350,41899,51587,60101,55838,30840,35417,1,64439,68671,76516
558.4653@15.037001,1409022,1881040,1732723,1376896,1390483,918617,972805,1194305,1263163,770946,1,1308874,1196275,1321978,1352546
380.3655@15.047584,16297,27340,15582,26052,1,12653,24313,33574,42380,1,38026,28850,1,27934,31783
602.4742@15.040691,67630,88421,1,54637,80737,18203,58981,48469,61280,26385,72626,74933,54375,1,61746
1465.1573@15.069333,20458,65054,26500,153615,125360,44613,96831,157143,199026,145275,466368,324397,41130,53229,66201
920.5786@15.076001,24231,39546,27076,50445,45360,31317,46918,49083,50477,46292,1,41652,33171,37542,37458
926.5958@15.078929,85100,126303,96914,143270,144229,114263,139550,139344,1,120275,33754,54571,112529,120999,129399
762.5901@15.071933,854775,1530755,971155,2353057,2167875,1246949,1833420,2322789,2627676,2231622,3998461,3376911,1162280,1318426,1500984
