Sample,1_01,1_02,1_03,2_01,2_02,2_03,3_01,3_02,3_03,5_01,5_02,5_03,6_01,6_02,6_03
1442.0931@0.36920002,12178,12256,12166,18311,16599,18519,17278,12333,13148,19632,17887,21420,15282,13769,13503
764.09@0.36910003,9940,1,11243,13046,12458,13966,10351,1,1,15019,1,15239,11676,13247,1
340.0591@0.36835715,1,21005,19087,42433,41435,40836,36352,31346,35727,38409,30813,38062,28061,27314,26312
436.0782@0.369,30835,27927,28059,37268,35462,36108,29521,30702,30549,40058,33395,39437,31409,31279,31825
518.0801@0.3686,47462,41689,43977,61986,58614,62369,50417,48477,47002,65401,55220,71639,50427,52309,53180
682.0873@0.3684667,19438,18298,19172,26032,22833,24564,18328,18394,20531,26593,20770,26190,24746,21295,21576
1110.0038@0.36966667,53035,51882,52428,32836,46613,47110,48374,47968,44244,49735,52117,46404,46465,47805,45454
354.0752@0.37179998,89290,81964,82443,113999,106672,113628,90541,90311,91336,122192,94641,122017,93550,94692,101992
185.9876@0.37206665,2952212,2959697,3000904,2880171,2903022,2867086,2898985,2911820,2919533,2912811,3007954,2884772,2558836,2905699,2837450
103.985@0.37153333,785318,912979,935844,764975,764441,770165,759019,778233,945406,965994,945278,930895,758178,777124,924777
2094.0576@0.37253335,84220,88184,87930,78199,71511,81431,82892,81408,87643,83672,84970,74845,76029,88025,85212
2340.0552@0.37260002,70463,72228,68735,73027,64644,63359,64584,65914,66681,69906,71210,68969,57487,74443,71552
2176.042@0.3726667,121062,122361,129173,112916,110846,107074,114164,116706,118081,107998,114873,108237,109710,119312,116843
2012.0436@0.37280005,245970,256774,267614,247240,239204,243747,230633,243119,241042,244387,239814,237353,237961,259323,241631
2504.047@0.37238458,37763,1,1,39208,34586,39282,36008,41534,37991,36030,37208,36496,39727,40034,44262
1602.0352@0.37286672,210100,221066,215140,201802,193402,201334,196399,202349,203991,203317,201362,184230,185158,208435,198783
1848.0364@0.37280005,298594,319421,326284,288538,295683,308016,286094,309103,288417,276485,302628,296482,283042,314010,292464
2258.0515@0.37271428,52886,50968,55344,50604,47258,1,48878,52923,53196,50261,47651,44978,46261,53752,52996
1766.0262@0.37273332,165536,171273,176360,162337,156473,154069,151797,158703,160352,160396,158691,154943,156717,163498,161483
678.508@0.3724615,1,48466,51455,44784,47701,46236,1,47337,45935,45544,45814,44608,39222,47048,44317
1438.0208@0.37286672,199581,213643,222474,194740,196607,194502,199353,203294,196750,196907,202755,190999,192478,207540,196698
1930.0378@0.37253335,123719,129214,133521,117335,122020,121693,118040,118558,121828,113743,117026,113819,115937,129798,125679
2274.0242@0.37399998,14260,1,15270,1,11852,15344,1,15017,13464,1,18665,14864,12677,14927,14224
349.9939@0.37373337,1986351,2098452,2152092,2052464,1969585,2008518,1923306,1998116,2002937,2079749,2109299,2027837,1895910,2082635,2021335
678.0081@0.3733077,1,1044109,1069099,994891,989847,1015183,1,1010726,1010214,1001012,1040478,1009096,966133,1044627,988711
1274.0072@0.37253338,164075,173241,179430,164832,161506,162428,162299,170295,162064,166195,169299,162893,167473,170560,164516
1684.0308@0.37300006,536920,558255,564054,530967,524296,541329,511997,532039,532957,520878,532997,519360,511451,554627,535086
1520.0247@0.37330002,682621,720529,728087,1,673751,695620,664835,679675,677355,683367,1,672974,1,1,1
596.0036@0.3736667,1571681,1616436,1650280,1558054,1533805,1572389,1521085,1563429,1566110,1542266,1612454,1541032,1489801,1604328,1546181
431.9973@0.37400004,2902756,3010672,3034670,2890663,2856710,2917661,2802833,2909512,2912998,2851693,2962721,2907900,2785683,2938578,2876173
513.9993@0.37393335,2939997,3004948,3048274,2989491,2920888,2949934,2891199,2945567,2908707,2916022,3003229,2918526,2770881,2957372,2924119
1864.0051@0.37360004,37718,35781,36655,37757,34281,32797,36720,33579,34651,35275,39001,34095,35388,35851,32444
267.9904@0.3740667,5323138,5636897,5469724,5617323,5485277,5595870,5514898,5317201,5479804,5416646,5703567,5569312,5096611,5477829,5498830
2028.0116@0.3742308,25036,32167,28375,26504,20462,25679,25747,25470,24175,24888,33519,24965,1,1,25657
1371.9828@0.37453333,36717,42128,39912,38335,37950,36474,36686,36614,36847,37323,42445,34618,34703,36047,34394
1207.9834@0.37421426,21399,21880,21721,20984,17898,19218,20078,21568,20070,20235,22181,22091,22857,1,19734
1781.997@0.37413332,41742,42518,45694,41968,36910,38209,41273,40737,40629,39439,47997,38768,38364,40572,39168
1617.9968@0.37393335,49794,51985,49582,51617,43359,51206,53079,51930,54703,46546,58152,48719,42255,50688,45544
1453.9899@0.37420002,42808,47702,47514,45780,41064,44090,40193,40557,41326,41666,49509,42995,42095,44885,37381
1289.9847@0.37426668,32379,36445,33414,32280,30003,30218,30204,33698,30631,31973,36683,30012,33819,33037,30051
1699.9998@0.37373337,41591,44582,43392,42135,39567,40830,41932,41688,44945,42058,50325,41989,37524,44400,38748
1535.9956@0.3744,42154,42273,44804,45968,42672,41348,43114,42170,42331,43474,49341,41774,39273,41359,41174
1946.0107@0.37406668,32464,34864,33283,32003,29430,30408,30615,32363,34943,32823,35616,30534,31581,33231,30612
2110.0227@0.37369233,22279,23655,1,23017,21614,21207,21227,22228,18427,19663,29621,22102,19740,22756,1
365.9686@0.37566665,133798,137310,137804,139920,134297,133429,129552,131965,133673,142560,156834,134983,127237,128757,125422
529.9745@0.37586668,221322,233946,232935,221369,214438,214628,208735,220225,225096,218424,261353,215684,207165,216975,211367
447.9719@0.376,216532,227756,213109,221074,219880,219065,215812,215940,221263,220915,258443,225217,203360,209512,205668
